Email,Name,Profile Score,Ratings Score,Search Score
user4917@t-mobile.com,Mackenzie  S.,9.00,3.00,6.00
user9414@gmail.com,Alejandro G.,9.00,2.57,5.79
user5322@t-mobile.com,Lindsay H.,8.00,3.50,5.75
user2424@verizon.net,Kristina M.,8.00,3.25,5.63
user4691@hotmail.com,Kathryn S.,8.00,3.00,5.50
user7287@hotmail.com,Caroline M.,9.00,2.00,5.50
user9029@t-mobile.com,Melissa C.,7.00,4.00,5.50
user2311@t-mobile.com,Justin K.,7.00,3.83,5.42
user6094@gmail.com,Caroline J.,9.00,1.80,5.40
user7861@yahoo.com,Christa Z.,8.00,2.78,5.39
user7903@hotmail.com,Faridah D.,6.00,4.60,5.30
user1969@hotmail.com,Shaina Z.,6.00,4.50,5.25
user3091@yahoo.com,Matthew Ryan H.,9.00,1.50,5.25
user6178@hotmail.com,Ashley  K.,7.00,3.43,5.21
user7812@hotmail.com,Kailyn G.,7.00,3.33,5.17
user9921@t-mobile.com,Kimberly K.,8.00,2.33,5.17
user1842@hotmail.com,Christa A.,7.00,3.33,5.17
user6379@t-mobile.com,Chasen   T.,7.00,3.29,5.14
user6860@verizon.net,Michael E.,7.00,3.29,5.14
user2644@hotmail.com,Sylvia W.,7.00,3.25,5.13
user7851@hotmail.com,Rachel  R.,6.00,4.00,5.00
user2683@hotmail.com,Herlina S.,8.00,2.00,5.00
user7759@hotmail.com,Jennifer W.,7.00,3.00,5.00
user2807@hotmail.com,Chris K.,6.00,3.83,4.92
user3971@hotmail.com,Michelle B.,7.00,2.83,4.92
user5555@gmail.com,Julianna C.,7.00,2.80,4.90
user3341@gmail.com,Stephen W.,7.00,2.75,4.88
user8656@yahoo.com,Anna Marie W.,7.00,2.75,4.88
user8248@t-mobile.com,Maureen  B.,7.00,2.67,4.83
user1690@verizon.net,Kevin H.,6.00,3.67,4.83
user1211@yahoo.com,Lyndsey B.,7.00,2.60,4.80
user4739@gmail.com,Lauren B.,7.00,2.57,4.79
user7650@verizon.net,Robert S.,6.00,3.57,4.79
user1075@gmail.com,Terence A.,6.00,3.50,4.75
user1932@yahoo.com,Julie X.,6.00,3.50,4.75
user3123@t-mobile.com,Hilary S.,7.00,2.50,4.75
user7080@verizon.net,Ricky E.,6.00,3.50,4.75
user4846@hotmail.com,Sandy O.,6.00,3.50,4.75
user5082@t-mobile.com,Samantha O.,7.00,2.50,4.75
user6407@t-mobile.com,Kandace L.,7.00,2.50,4.75
user5135@t-mobile.com,Jessica C.,6.00,3.43,4.71
user5598@hotmail.com,Gayle P.,6.00,3.40,4.70
user1949@gmail.com,Ashley H.,6.00,3.33,4.67
user2983@verizon.net,Chanece W.,6.00,3.33,4.67
user9612@t-mobile.com,Danielle W.,7.00,2.33,4.67
user3251@yahoo.com,Robin R.,5.00,4.25,4.63
user6702@hotmail.com,Jordan  R.,6.00,3.25,4.63
user6217@gmail.com,William P.,6.00,3.20,4.60
user4980@gmail.com,Jessica E.,6.00,3.14,4.57
user7736@t-mobile.com,Jenny S.,5.00,4.00,4.50
user1943@verizon.net,Joei B.,5.00,4.00,4.50
user8738@gmail.com,Julie W.,6.00,3.00,4.50
user5411@hotmail.com,Mahgul U.,6.00,3.00,4.50
user9209@hotmail.com,Randal  W.,6.00,3.00,4.50
user2537@hotmail.com,Marita C.,6.00,3.00,4.50
user4215@hotmail.com,Vanessa B.,6.00,3.00,4.50
user7582@yahoo.com,Sharon H.,6.00,2.75,4.38
user7938@verizon.net,Aksana B.,5.00,3.75,4.38
user3337@verizon.net,Alex S.,5.00,3.67,4.33
user7177@verizon.net,Lisa D.,5.00,3.50,4.25
user7345@verizon.net,Carl P.,5.00,3.50,4.25
user6604@yahoo.com,Nelson M.,6.00,2.43,4.21
user7442@verizon.net,Leah S.,5.00,3.40,4.20
user3864@yahoo.com,Angie S.,6.00,2.40,4.20
user6074@t-mobile.com,Tony L.,5.00,3.40,4.20
user4671@yahoo.com,Meagan M.,5.00,3.29,4.14
user9792@hotmail.com,Nancy O.,5.00,3.25,4.13
user4051@gmail.com,Dina L.,5.00,3.25,4.13
user8249@yahoo.com,Reagan N.,5.00,3.20,4.10
user1349@hotmail.com,Magali M.,5.00,3.20,4.10
user2847@verizon.net,Dawn M.,5.00,3.00,4.00
user1777@yahoo.com,Nakisa S.,5.00,3.00,4.00
user3695@yahoo.com,Megan B.,6.00,2.00,4.00
user8635@verizon.net,Paul S.,5.00,3.00,4.00
user5398@verizon.net,Derek K.,4.00,4.00,4.00
user9371@hotmail.com,Kristy B.,7.00,1.00,4.00
user2655@verizon.net,Nancy B.,5.00,3.00,4.00
user9973@hotmail.com,Gwen G.,4.00,3.80,3.90
user7784@hotmail.com,Shellie C.,6.00,1.80,3.90
user9271@yahoo.com,Cooper P.,5.00,2.75,3.88
user5835@yahoo.com,Heather T.,5.00,2.67,3.83
user5363@verizon.net,Tessa L.,5.00,2.50,3.75
user6713@gmail.com,Alex F.,5.00,2.50,3.75
user5707@yahoo.com,Gaurang P.,6.00,1.50,3.75
user1233@yahoo.com,Huan H.,4.00,3.43,3.71
user3489@yahoo.com,Conor H.,5.00,2.33,3.67
user7540@verizon.net,Ben F.,4.00,3.33,3.67
user7508@t-mobile.com,Leilani R.,6.00,3.50,3.50
user9227@t-mobile.com,Pam L.,4.00,2.75,3.38
user9866@gmail.com,Ilka A.,4.00,2.71,3.36
user7137@yahoo.com,Tasha J.,5.00,1.67,3.33
user5760@yahoo.com,Mary A.,4.00,2.50,3.25
user5253@hotmail.com,Wanda C.,5.00,1.50,3.25
user7112@verizon.net,Anne D.,4.00,2.20,3.10
user1945@yahoo.com,Ali P.,4.00,2.00,3.00
user2738@t-mobile.com,Anne B.,4.00,2.00,3.00
user4669@t-mobile.com,Jessica L.,7.00,2.80,2.80
user9082@t-mobile.com,Wendy J.,6.00,2.67,2.67
user3697@verizon.net,Kathy D.,6.00,2.55,2.55
user6954@verizon.net,BOB M.,3.00,2.00,2.50
